client,new_client,month,finance_month,finance_year,tracker_year,undated_apportioned,year_deficit,top_up_hours
Autofleet,,2019-03,122.50,244.50,244.47,0.00,0.03,0.02
Barbahar,,2016-05,10.00,69.00,1.00,0.00,68.00,9.86
Barbahar,,2016-06,15.00,69.00,1.00,0.00,68.00,14.78
Barbahar,,2016-07,30.00,69.00,1.00,0.00,68.00,29.57
Barbahar,,2016-08,10.00,69.00,1.00,0.00,68.00,9.86
Barbahar,,2016-09,1.00,69.00,1.00,0.00,68.00,0.99
Barbahar,,2016-12,3.00,69.00,1.00,0.00,68.00,2.96
Co-play,,2016-08,21.00,124.50,0.00,0.00,124.50,21.00
Co-play,,2016-09,16.00,124.50,0.00,0.00,124.50,16.00
Co-play,,2016-11,34.00,124.50,0.00,0.00,124.50,34.00
Co-play,,2016-12,53.50,124.50,0.00,0.00,124.50,53.50
dana shai,yes,2016-07,16.00,16.00,0.00,0.00,16.00,16.00
fintactica,yes,2016-06,8.00,35.00,0.00,0.00,35.00,8.00
fintactica,yes,2016-07,27.00,35.00,0.00,0.00,35.00,27.00
fintech TLV,yes,2016-06,14.00,14.00,0.00,0.00,14.00,14.00
fonemate,yes,2016-07,27.50,167.50,0.00,0.00,167.50,27.50
fonemate,yes,2016-08,76.00,167.50,0.00,0.00,167.50,76.00
fonemate,yes,2016-09,59.00,167.50,0.00,0.00,167.50,59.00
fonemate,yes,2016-10,5.00,167.50,0.00,0.00,167.50,5.00
fonemate 2,yes,2016-10,7.00,59.00,0.00,0.00,59.00,7.00
fonemate 2,yes,2016-11,50.00,59.00,0.00,0.00,59.00,50.00
fonemate 2,yes,2016-12,2.00,59.00,0.00,0.00,59.00,2.00
idan_negev,yes,2016-06,20.00,23.50,0.00,0.00,23.50,20.00
idan_negev,yes,2016-07,3.50,23.50,0.00,0.00,23.50,3.50
jolt,yes,2016-05,56.00,56.00,0.00,0.00,56.00,56.00
Kang,yes,2016-08,21.00,21.00,0.00,0.00,21.00,21.00
Lev Hasade,yes,2016-06,25.00,35.00,0.00,0.00,35.00,25.00
Lev Hasade,yes,2016-07,10.00,35.00,0.00,0.00,35.00,10.00
mashrokit,yes,2016-12,31.00,31.00,0.00,0.00,31.00,31.00
ooga,yes,2016-07,50.00,90.00,0.00,0.00,90.00,50.00
ooga,yes,2016-08,40.00,90.00,0.00,0.00,90.00,40.00
Quadream,,2017-01,4.00,411.20,383.10,24.62,3.48,0.03
Quadream,,2017-02,29.00,411.20,383.10,24.62,3.48,0.25
Quadream,,2017-03,18.50,411.20,383.10,24.62,3.48,0.16
Quadream,,2017-04,47.50,411.20,383.10,24.62,3.48,0.40
Quadream,,2017-05,37.70,411.20,383.10,24.62,3.48,0.32
Quadream,,2017-06,14.50,411.20,383.10,24.62,3.48,0.12
Quadream,,2017-07,24.00,411.20,383.10,24.62,3.48,0.20
Quadream,,2017-08,16.50,411.20,383.10,24.62,3.48,0.14
Quadream,,2017-09,2.00,411.20,383.10,24.62,3.48,0.02
Quadream,,2017-10,64.00,411.20,383.10,24.62,3.48,0.54
Quadream,,2017-11,68.50,411.20,383.10,24.62,3.48,0.58
Quadream,,2017-12,85.00,411.20,383.10,24.62,3.48,0.72
Quadream,,2018-01,101.50,839.50,782.08,50.27,7.15,0.86
Quadream,,2018-02,83.50,839.50,782.08,50.27,7.15,0.71
Quadream,,2018-03,120.50,839.50,782.08,50.27,7.15,1.03
Quadream,,2018-04,130.50,839.50,782.08,50.27,7.15,1.11
Quadream,,2018-05,81.50,839.50,782.08,50.27,7.15,0.69
Quadream,,2018-06,60.00,839.50,782.08,50.27,7.15,0.51
Quadream,,2018-07,93.50,839.50,782.08,50.27,7.15,0.80
Quadream,,2018-08,18.50,839.50,782.08,50.27,7.15,0.16
Quadream,,2018-09,3.00,839.50,782.08,50.27,7.15,0.03
Quadream,,2018-10,12.00,839.50,782.08,50.27,7.15,0.10
Quadream,,2018-11,53.00,839.50,782.08,50.27,7.15,0.45
Quadream,,2018-12,82.00,839.50,782.08,50.27,7.15,0.70
Quadream,,2021-07,3.00,9.50,8.85,0.57,0.08,0.03
Quadream,,2021-08,5.50,9.50,8.85,0.57,0.08,0.05
quooter,yes,2016-05,13.00,22.00,0.00,0.00,22.00,13.00
quooter,yes,2016-06,9.00,22.00,0.00,0.00,22.00,9.00
tendr,yes,2016-10,20.00,38.00,0.00,0.00,38.00,20.00
tendr,yes,2016-11,9.00,38.00,0.00,0.00,38.00,9.00
tendr,yes,2016-12,9.00,38.00,0.00,0.00,38.00,9.00
vbox,yes,2016-11,6.00,6.00,0.00,0.00,6.00,6.00
wix,,2016-05,12.00,12.00,0.00,0.00,12.00,12.00
החנות שלנו,yes,2016-07,12.50,25.00,0.00,0.00,25.00,12.50
החנות שלנו,yes,2016-11,12.50,25.00,0.00,0.00,25.00,12.50
שחר בראדון,yes,2016-06,4.00,4.00,0.00,0.00,4.00,4.00
