task_id,client,section,original_title,clean_name,budget,budget_low,existing_estimate,title_hours,comment_hours,comment_count,unattributable_comment_hours,actual,attributable_hours,legacy_remainder,activity_from,activity_to,flag
cd13eaff-3c29-4b78-91b0-a7275b69caf0,Volta,Website (232+61/134) (Total 293-366) - 388.5 (27/1/2021),Website Wireframes (32-42) - 16.75h,Website Wireframes,42,32,,16.75,16.75,13,16.75,,,,2020-07-29,2020-10-29,budget-range rollup-parent-zeroed
e56d9af1-ee2d-4c59-a43d-e384b4af9503,Volta,Website (232+61/134) (Total 293-366) - 388.5 (27/1/2021),Full Website Design (105-146- final 200.5) - 200.5h,Full Website Design,200.5,,,200.5,221.75,54,221.75,,,,2020-10-20,2020-12-28,rollup-parent-zeroed
d7d446d7-3661-45c7-8abd-e1c4aeaa8b6b,Volta,Website (232+61/134) (Total 293-366) - 388.5 (27/1/2021),Mobile Adaptation (38-44 - final 44) - 44h,Mobile Adaptation,44,,,44,51.25,27,51.25,51.25,51.25,0,2020-12-03,2021-01-28,rollup-parent-kept-no-children entries-exceed-title-total
f34ceb45-3d55-4c64-8c62-83180eff3a9d,Volta,Website (232+61/134) (Total 293-366) - 388.5 (27/1/2021),Styleguide & Dev (30-38 - final 18) - 18h,Styleguide & Dev,18,,,18,13.25,20,13.25,18,13.25,4.75,2020-11-04,2021-02-15,rollup-parent-kept-no-children title-vs-comments-differ
e27c6618-9adc-4456-8a02-0b03d5908e6f,Volta,3D work (110+80+16+64=270) - 412.5 (2/5/2021),3D City + Headers (206 - final 271) - 281.5h,3D City + Headers,271,,,281.5,96,50,112,281.5,96,185.5,2020-08-26,2020-12-21,title-vs-comments-differ
747e807a-10d5-4199-8266-5dab588ac2d6,Volta,Website (232+61/134) (Total 293-366) - 388.5 (27/1/2021),Testemonials Page (8-10),Testemonials Page,10,8,,,,,,,,,,,budget-range
7c1ff60b-c83d-4da0-af75-268a82e22b3b,Volta,Website (232+61/134) (Total 293-366) - 388.5 (27/1/2021),About Page (3-4),About Page,4,3,,,,,,,,,,,budget-range
18025e65-16c9-491b-a527-62590c9df8d8,Volta,Website (232+61/134) (Total 293-366) - 388.5 (27/1/2021),Blog Page (3-4),Blog Page,4,3,,,,,,,,,,,budget-range
26a12473-3da6-40af-90de-1a4d0acf88c6,Volta,Website (232+61/134) (Total 293-366) - 388.5 (27/1/2021),Calculator (14-20),Calculator,20,14,,,,,,,,,,,budget-range
c2c0b507-d7c8-4812-9c35-dcd081e2be9f,Volta,Website (232+61/134) (Total 293-366) - 388.5 (27/1/2021),QA (24-32 - final 17.5) - 17.5h,QA,17.5,,,17.5,19,25,19,19,19,0,2020-11-24,2021-05-25,rollup-parent-kept-no-children entries-exceed-title-total
e9f5d40b-0440-4df4-8069-b4f615aceeec,Volta,Website (232+61/134) (Total 293-366) - 388.5 (27/1/2021),אינטרקציית מפה 2-3 - 1.5,אינטרקציית מפה,3,2,,1.5,,1,,1.5,,1.5,2020-12-15,2020-12-15,budget-range
9d8534c1-d705-4a63-a735-eb7141225dfb,Volta,Website (232+61/134) (Total 293-366) - 388.5 (27/1/2021),פרטי - 8-10,פרטי,10,8,,,,,,,,,,,budget-range
