client,year,finance_billed,tracker_total,difference,pct_over,from_tracked,from_asana,from_finance_backfill,from_undated_estimate
Mobileye Corporate,2019,1496.00,1925.23,429.23,29%,0.00,1925.23,0.00,0.00
Quadream / In-reach,2016,0.00,345.00,345.00,no billing row,0.00,345.00,0.00,0.00
Autofleet,2018,207.25,459.50,252.25,122%,0.00,459.50,0.00,0.00
Baseline,2022,265.25,507.83,242.58,91%,449.75,58.08,0.00,0.00
Ception,2022,81.50,306.75,225.25,276%,43.50,263.25,0.00,0.00
Mobileye Corporate,2021,467.75,655.73,187.98,40%,0.00,655.73,0.00,0.00
Mobileye Corporate,2022,60.50,192.82,132.32,219%,0.00,192.82,0.00,0.00
Autofleet,2022,1553.25,1675.50,122.25,8%,897.25,778.25,0.00,0.00
Blazepod,2020,754.25,869.57,115.32,15%,0.00,869.57,0.00,0.00
Nextage,2022,154.00,264.05,110.05,71%,0.00,264.05,0.00,0.00
New Era,2018,125.00,229.60,104.60,84%,0.00,229.60,0.00,0.00
Arison,2022,23.25,120.32,97.07,417%,0.00,120.32,0.00,0.00
Fiverr,2021,164.25,249.13,84.88,52%,0.00,249.13,0.00,0.00
One Zero,2022,406.25,463.75,57.50,14%,0.00,463.75,0.00,0.00
Volta,2021,484.25,539.22,54.97,11%,0.00,539.22,0.00,0.00
Collabria,2022,1221.50,1271.92,50.42,4%,1207.42,64.50,0.00,0.00
Cognigo (d.day labs),2018,659.50,707.05,47.55,7%,0.00,707.05,0.00,0.00
Fiverr,2022,86.75,130.62,43.87,51%,0.00,130.62,0.00,0.00
Donsplus,2020,378.50,422.00,43.50,11%,0.00,422.00,0.00,0.00
Donsplus,2022,298.00,339.80,41.80,14%,24.00,315.80,0.00,0.00
Blazepod,2019,208.50,243.10,34.60,17%,0.00,243.10,0.00,0.00
Blazepod,2021,683.00,714.35,31.35,5%,0.00,714.35,0.00,0.00
Empathy,2022,0.00,25.75,25.75,no billing row,0.00,25.75,0.00,0.00
Blazepod,2022,995.75,1020.98,25.23,3%,951.25,69.73,0.00,0.00
Fiverr,2020,48.00,70.00,22.00,46%,0.00,70.00,0.00,0.00
Navina,2022,0.00,17.40,17.40,no billing row,0.00,17.40,0.00,0.00
Barbahar,2017,37.00,50.00,13.00,35%,0.00,50.00,0.00,0.00
Siteaware,2019,122.50,135.00,12.50,10%,0.00,135.00,0.00,0.00
Quadream / In-reach,2019,874.00,885.98,11.98,1%,0.00,885.98,0.00,0.00
Siteaware,2018,118.00,128.25,10.25,9%,0.00,128.25,0.00,0.00
Barbahar,2019,24.50,27.73,3.23,13%,0.00,27.73,0.00,0.00
Barbahar,2020,23.50,25.77,2.27,10%,0.00,25.77,0.00,0.00
Ception,2019,242.00,244.08,2.08,1%,0.00,244.08,0.00,0.00
Harmonie,2022,442.00,443.50,1.50,0%,443.50,0.00,0.00,0.00
