client,asana_gid,hours,title
Ception,1113499279673008,7.00,Name - 7h
Ception,1201136698323013,1.00,Logo for helmet & vest - 1h
Studio,1200306098714949,2.50,Grip- web design - (26.5h) - 2.5
Studio,1200306098714971,4.00,Pangeam - Header - 06.06.21 - 4
Studio,1200401118727335,10.00,Baseline - Countdown Loop Preview -10.06.21 - 10
Studio,1200497013825208,7.25,Grip - Innovation visual animation - (37h) 7.25
Studio,1200497013825217,2.00,Grip - 404 page - (2h)  -2
Studio,1200537334812810,2.25,Volta Solar - Web Scroll Animation - 2.25h
Studio,1200715489994999,3.25,Videos adaption for Dribble - 3.25h
Studio,1201035341598604,4.25,Storemanven - Overview Header Animation - 4.25h
Studio,1201604914943102,13.25,Storemaven - Animated Visuals - Flow 13.25h
Studio,1201604914943112,7.00,Motion Showreel 2022 - 7
Studio,1201634252087173,1.25,Storemaven - Visuals Post - Ready - 1.25h
Studio,1201637591688720,9.25,Fiverr - Animated collage of Fiverr animations 9.25h
Studio,1201774716370479,4.25,Fiverr post 4.25h
Studio,1201811504737337,56.25,PDQ - Social Campaign - 56.25h
Studio,1201811504737341,20.00,Stigg - Social Campaign - 20h
Studio,1201811504737345,13.75,Nextage -  Social Campaign - 13.75h
Studio,1201811504737353,4.00,Fiverr - 3D Ads - animated post - 4h
Studio,1201811504737355,8.75,"Studio - 7,000 Followers - animation post -8.75"
Studio,1201811504737359,8.75,PDQ - Animated Website Scroll Post - 8.75h
Studio,1201855133499308,4.50,First - 3D animations post (CELO+USDC) - 4.5h
Studio,1201892064316636,2.50,PDQ -logo post 2.5h
Studio,1201924198083742,6.00,Autofleet Driver App Illustration post - 6h
Fiverr,1201096427410920,2.00,High five (2/3) - 2h
Studio,176365857037868,15.00,rosh hashna - 15h
Studio,231343612933491,16.50,studio mural 16.5 hr
Studio,305541240065642,5.00,offf studio - 5 hrs
Studio,375998044435454,5.00,fun day (facebook)- 5 hrs
Studio,409924381155879,4.00,hub presentation -4 hrs
Studio,416985355360858,2.00,pdf for macabi - 2hrs
Studio,564190613526819,19.00,purim 2018- 19h
Studio,608210876526206,12.00,spring post-12h
Studio,666493377602095,5.50,wanted ad join us-  5.5h
Studio,732397148914434,3.50,design kids - 3.5h 
Studio,758464608502407,8.00,פגישות - siteaware - ituran -8
Studio,759353326271901,12.00,autumn post- 12h
Studio,761726139298411,8.00,winter post- 8h
Studio,768816204177934,8.00,פרוייקטים - ים  - 8
Studio,785570451041394,3.50,Ui / Ux pdf - 3.5
Studio,794183571308999,7.50,Studio - Rosh Hashana 2018 Post - 7.5h
Studio,794433416097908,9.00,Nitzan presentation - 9 h 
Studio,794433416097909,2.50,vacation calendar 2018 - 2.5 h
Studio,819833437051936,67.50,Folders & mail - 67.5 hrs
Studio,885100133742213,4.50,Enroute post - 4.5h
Studio,956342079382282,12.25,Silvester post- 12.25h
Studio,980043378520459,37.25,Studio ppt - 37.25 h
Studio,1001584245313887,24.00,Ravin app post - 24h
Studio,1107529676707549,12.00,AutoFleet dashboard post - 12h
Studio,1107950303271550,19.00,AutoFleet control center post - 19h
Studio,1109219170765625,1.00,scripts installation - 1h
Studio,1110658830351764,10.75,wanted & more post- 10.75h
Studio,1114683248826747,6.00,quadream icons - 6
Studio,1115619849043880,86.00,Ituran case study 86h
Studio,1120186206150384,75.75,Toyota case study - 75.75
Studio,1126558112432092,1.50,Basis Case Study - 1.5h
Studio,1126927475381453,43.00,Basis Case Study - 43h
Studio,1135577905287865,27.50,Fun day posts - 27.5h
Studio,1145070699775351,42.50,Ido Calman's Portfolio - 42.5h 
Studio,1145072885718995,16.50,Wix bug - 16.5h
Studio,1181334019804738,59.25,Storemaven Casestudy - 59.25h
Studio,1192650069604105,11.75,mini tasks - 11.75h
Studio,1199559333534041,94.25,Volta Solar Case Study - 94.25h
Studio,1200572635056329,3.75,Oxeye Case Study - 3.75h
Studio,1202318199479891,18.75,Demo festival - 18.75h
Studio,248892588733687,35.00,co-play - case study -35
Studio,318271424205574,124.00,אתר -124
Studio,323097967519240,66.50,illustration for website - 66.5
Studio,389618211746996,6.00,לעדכן אתר קיים - 6HRS
Studio,408118794864744,20.00,case study for nextnine - 20
Studio,427432102734086,48.50,Case Study OFFF 48.5 HRS
Studio,447932884827958,10.50,case study - dday - 10.5
Studio,450470048148013,8.00,case study - mobileye -8h
Studio,511971874660749,4.00,case study - waves -4h
Studio,582333917074671,14.50,case study - tree 14.5 hr
Studio,634260507405363,24.00,case study - tuqqi 24 hr
Studio,634294225405195,21.00,&more case study-21h
Studio,636894934805151,65.00,case study - Autofleet 65h
Studio,644458209601176,43.25,case study din 7 - 43.25hrs
Studio,756688935198517,41.00,case study SiteAware 41hrs
Studio,1127502223747802,10.00,Case Study - NewEra - 10 hr
Studio,1128863622990776,12.25,Case Study - Ception - 12.25h
Studio,1129458834999867,34.25,Case Study - C2A - 34.25h
