task_id,client,title,hours,budget,window,months,has_unit,flag
ab598692-9514-4230-951d-5a13e97358ad,Ception,Name - 7h,7,,2019-03 → 2019-06,4,yes,
20c36d32-7480-4d64-8b2e-48fa9e344498,Ception,Logo for helmet & vest - 1h,1,,2021-10 → 2021-11,2,yes,
9a2537ac-9994-4a5b-8963-4dbc269324bc,Studio,Grip- web design - (26.5h) - 2.5,2.5,26.5,2021-05 → 2021-08,4,yes,budget-vs-actual-far
96e31233-3e71-4f07-bf7f-97ebf6974999,Studio,Pangeam - Header - 06.06.21 - 4,4,,2021-05 → 2021-06,2,no,
43844971-dd3f-4818-8bbe-1a4c75d012f0,Studio,Baseline - Countdown Loop Preview -10.06.21 - 10,10,,2021-06 → 2021-06,1,no,
5920215d-220f-4ed7-b33e-22082d27ee61,Studio,Grip - Innovation visual animation - (37h) 7.25,7.25,37,2021-06 → 2021-08,3,yes,budget-vs-actual-far
36d9ce0c-de23-4e33-8652-499294e50585,Studio,Grip - 404 page - (2h)  -2,2,2,2021-06 → 2021-08,3,yes,
fea4ede1-caeb-4312-98a9-965da82b026f,Studio,Volta Solar - Web Scroll Animation - 2.25h,2.25,,2021-06 → 2021-07,2,yes,
898c448c-3669-4d78-9330-c5caba46eb92,Studio,Videos adaption for Dribble - 3.25h,3.25,,2021-08 → 2022-01,6,yes,
7d07a7a2-665e-49f7-a053-e3d43f39231f,Studio,Storemanven - Overview Header Animation - 4.25h,4.25,,2021-09 → 2022-01,5,yes,
03298f7c-8b54-497c-bb38-d15da948249c,Studio,Storemaven - Animated Visuals - Flow 13.25h,13.25,,2022-01 → 2022-03,3,yes,
8aa2404d-728a-4a48-802b-58a928c466eb,Studio,Motion Showreel 2022 - 7,7,,2022-01 → 2022-01,1,no,
6652dfc7-01f2-471b-bf25-6a6e4396ef41,Studio,Storemaven - Visuals Post - Ready - 1.25h,1.25,,2022-01 → 2022-02,2,yes,
add4536d-2b18-46e1-83c9-43c4cd8d4a5b,Studio,Fiverr - Animated collage of Fiverr animations 9.25h,9.25,,2022-01 → 2022-02,2,yes,
3cc50127-e41f-4a12-ba8b-901bc35e8b90,Studio,Fiverr post 4.25h,4.25,,2022-02 → 2022-02,1,yes,
c286a8b5-a817-496b-a8ba-ebd08892e9d6,Studio,PDQ - Social Campaign - 56.25h,56.25,,2022-02 → 2022-05,4,yes,
59842237-f887-4808-b470-25dcef1fb00b,Studio,Stigg - Social Campaign - 20h,20,,2022-02 → 2022-05,4,yes,
1301c95b-a8a5-490e-8a2f-22ee1151a666,Studio,Nextage -  Social Campaign - 13.75h,13.75,,2022-02 → 2022-10,9,yes,
1afeb380-ca40-4415-a60d-840f81873db5,Studio,Fiverr - 3D Ads - animated post - 4h,4,,2022-02 → 2022-02,1,yes,
2ef0fd29-6118-4892-8e6d-3a510faf192c,Studio,"Studio - 7,000 Followers - animation post -8.75",8.75,,2022-02 → 2022-05,4,no,
89e3674b-7bf9-4b78-8676-46cde003c72a,Studio,PDQ - Animated Website Scroll Post - 8.75h,8.75,,2022-02 → 2022-04,3,yes,
db4767c0-549c-46fd-ba17-a434a45ffc2d,Studio,First - 3D animations post (CELO+USDC) - 4.5h,4.5,,2022-02 → 2023-06,17,yes,
3dbc68a9-377a-4d1d-aa08-1083100aaab9,Studio,PDQ -logo post 2.5h,2.5,,2022-03 → 2022-03,1,yes,
948eca28-2f70-4fcd-9a9a-b943ba849627,Studio,Autofleet Driver App Illustration post - 6h,6,,2022-03 → 2022-03,1,yes,
0396b35d-8742-4d01-9452-227eec16f877,Fiverr,High five (2/3) - 2h,2,3,2021-09 → 2021-09,1,yes,budget-multi
1f153e92-b5cf-4aad-91af-387ceede7b6b,Studio,rosh hashna - 15h,15,,2016-09 → 2016-12,4,yes,
